item,food,ML3,ML5,ML6,ML1,ML2,ML4
q_403,Cereals,-0.06483492305734095,-0.04734913970043589,0.04527769459817743,0.23822850208400348,0.17389721077703876,0.47444943024376784
q_404,Roots/tubers,0.04540254399994359,0.49656720895600365,-0.06185321317930382,0.44606570417820735,-0.15795569384899355,0.0629994531619605
q_405,Vit A vegetables,0.019538990898596995,-0.005780860151897729,0.014414325137208847,0.9833501036913505,0.03661287825458316,-0.01879872449712502
q_406,Leafy greens,-0.061492470566146415,0.040798810787718263,0.31260563216627424,0.3086717775347421,0.04852125815046533,0.15229151999178736
q_407,Other vegetables,0.051676755061976,0.36504947281303046,-0.004639935459394964,0.06701593320572509,0.23194694928788484,0.4173202492492475
q_408,Vit A fruits,0.05001891857833157,0.7567584878667312,-0.04470309413098142,0.09506701992982797,0.06545482609842751,0.07390241430518976
q_409,Other fruits,0.17401716484536783,0.5441249622459832,0.3054765295395352,0.058797455959967236,-2.605646072484369e-5,-0.23674338855045407
q_410,Organ meat,0.6399109981338884,0.17182049907598967,0.23128705003893035,0.011818519368445269,-0.03419389636375979,-0.11868660272240136
q_411,Domesticated meat,0.9902954564252864,-0.06676622778907487,-0.05792422183276315,0.030079495034960085,-0.003974217017007606,0.049506318694298224
q_412,Bush meat,0.6785921659818925,0.03681941793583265,0.10547943909957408,-0.06034200686486815,0.09245438321210893,-0.03348825436164091
q_413,Eggs,0.5894443129312238,0.11581789983786644,-0.03167454508650645,0.0834080529180816,0.18766058989105167,0.04273978676680701
q_414,Seafood,0.02689992175335294,-0.003113211450101718,0.016066575996709354,0.018540865186592714,0.9790306750663673,-0.019884709525721113
q_415,Legumes,0.22348737505006405,0.14320444053929496,0.19869530204025715,0.21456399114845326,0.13836758498880664,0.23533940602008846
q_416,Milk products,0.17371307026501243,0.05723559462480854,0.6530589079123733,6.2087700136511e-6,0.07097399847916436,-0.19991107938962013
q_417,Oil and fats,0.011083920792887489,-0.03508333956242847,0.8084536015474836,0.04850831815619444,0.0680004403942979,0.1701137720245109
q_418,Sweets,0.0648607805455569,0.42364002146273194,0.13227456043659971,-0.04806401558252496,0.19610450003643784,0.33300547949330994
q_419,Spices/condiments,0.17093775276303735,0.10128115089901943,0.33084154018533596,0.014251012579535309,-0.09432607610458868,0.5318024277253389
