county,Value,Value_se,var_name,label,margin,lower,upper,ci,cnty_rnk
Akobo,0.978125171418328,0.007611133086830172,403,Cereals,0.014917820850187138,0.9632073505681409,0.9930429922685151,96.3% - 99.3%,1
Akobo,0.85478572825298,0.036865731027500986,414,Fish,0.07225683281390194,0.7825288954390781,0.927042561066882,78.3% - 92.7%,2
Akobo,0.6460294767526736,0.05610818884245469,406,Leafy greens,0.1099720501312112,0.5360574266214624,0.7560015268838849,53.6% - 75.6%,3
Akobo,0.6360309148941818,0.054069349709365,417,Oil and fats,0.1059759254303554,0.5300549894638265,0.7420068403245372,53% - 74.2%,4
Akobo,0.6060108992602417,0.051343649928234696,419,Spices/condiments,0.10063355385934,0.5053773454009016,0.7066444531195817,50.5% - 70.7%,5
Akobo,0.5171788828534869,0.04122259575686176,412,Bush meat,0.08079628768344906,0.43638259517003786,0.5979751705369359,43.6% - 59.8%,6
Akobo,0.4585394792544405,0.0443230558413396,416,Milk products,0.08687318944902563,0.3716662898054149,0.5454126687034662,37.2% - 54.5%,7
Akobo,0.4374993616746491,0.05531935091520007,407,Other vegetables,0.10842592779379213,0.32907343388085697,0.5459252894684412,32.9% - 54.6%,8
Akobo,0.42107370118179377,0.04952870028343068,415,Legumes,0.09707625255552413,0.32399744862626967,0.5181499537373179,32.4% - 51.8%,9
Akobo,0.3678074240163149,0.053006574891789913,418,Sweets,0.10389288678790823,0.26391453722840663,0.47170031080422314,26.4% - 47.2%,10
Akobo,0.3569464744826246,0.043163091094016955,411,Domesticated meat,0.08459965854427323,0.2723468159383514,0.4415461330268978,27.2% - 44.2%,11
Akobo,0.26080000377085527,0.049006123820175974,413,Eggs,0.09605200268754491,0.16474800108331036,0.3568520064584002,16.5% - 35.7%,12
Akobo,0.18493951074077827,0.03613741046262803,410,Organ meat,0.07082932450675093,0.11411018623402734,0.2557688352475292,11.4% - 25.6%,13
Akobo,0.08970313214590518,0.01951160507679948,405,Vitamin A vegetables,0.038242745950526985,0.0514603861953782,0.12794587809643215,5.1% - 12.8%,14
Akobo,0.08636474170461679,0.02134961638736458,408,Vitamin A fruits,0.041845248119234575,0.044519493585382215,0.12820998982385137,4.5% - 12.8%,15
Akobo,0.05711288064828314,0.014877785025107499,409,Other fruits,0.029160458649210696,0.027952421999072444,0.08627333929749384,2.8% - 8.6%,16
Akobo,0.02830721620868511,0.007478087917467003,404,Roots/tubers,0.014657052318235326,0.013650163890449785,0.04296426852692044,1.4% - 4.3%,17
Baliet,0.8933610227068498,0.04531725050769819,403,Cereals,0.08882181099508846,0.8045392117117613,0.9821828337019383,80.5% - 98.2%,1
Baliet,0.6195767487963699,0.07900871109292981,419,Spices/condiments,0.15485707374214241,0.4647196750542275,0.7744338225385123,46.5% - 77.4%,2
Baliet,0.5895483582866964,0.07604402823776424,414,Fish,0.1490462953460179,0.4405020629406785,0.7385946536327143,44.1% - 73.9%,3
Baliet,0.5146614840367579,0.05333009648732178,413,Eggs,0.10452698911515068,0.41013449492160725,0.6191884731519086,41% - 61.9%,4
Baliet,0.4610394671839061,0.07313636689272356,411,Domesticated meat,0.14334727910973816,0.31769218807416794,0.6043867462936443,31.8% - 60.4%,5
Baliet,0.43159806886392643,0.0671915048313988,405,Vitamin A vegetables,0.13169534946954164,0.2999027193943848,0.5632934183334681,30% - 56.3%,6
Baliet,0.3761175898229229,0.09640729212765609,406,Leafy greens,0.18895829257020594,0.187159297252717,0.5650758823931289,18.7% - 56.5%,7
Baliet,0.3738606351641589,0.06941417884090764,418,Sweets,0.13605179052817898,0.23780884463597993,0.5099124256923379,23.8% - 51%,8
Baliet,0.36008125763215504,0.09210638456611511,412,Bush meat,0.18052851374958562,0.17955274388256942,0.5406097713817406,18% - 54.1%,9
Baliet,0.3594848050781377,0.055535207109171016,416,Milk products,0.10884900593397519,0.2506357991441625,0.46833381101211286,25.1% - 46.8%,10
Baliet,0.3551132852281205,0.0854797682336674,407,Other vegetables,0.1675403457379881,0.18757293949013243,0.5226536309661086,18.8% - 52.3%,11
Baliet,0.31309534431138053,0.04581906889342025,415,Legumes,0.0898053750311037,0.22328996928027683,0.4029007193424842,22.3% - 40.3%,12
Baliet,0.3103694940069213,0.06319763835633861,417,Oil and fats,0.12386737117842368,0.18650212282849765,0.434236865185345,18.7% - 43.4%,13
Baliet,0.26776307941490124,0.061067812962800734,409,Other fruits,0.11969291340708944,0.1480701660078118,0.38745599282199067,14.8% - 38.7%,14
Baliet,0.25135672017298694,0.05806877151479175,408,Vitamin A fruits,0.11381479216899183,0.13754192800399512,0.36517151234197875,13.8% - 36.5%,15
Baliet,0.22903533204787904,0.05191704183532713,410,Organ meat,0.10175740199724118,0.12727793005063787,0.3307927340451202,12.7% - 33.1%,16
Baliet,0.1193429432795354,0.03300663894453429,404,Roots/tubers,0.0646930123312872,0.0546499309482482,0.1840359556108226,5.5% - 18.4%,17
Budi,0.8887950045386485,0.030229124348419577,403,Cereals,0.05924908372290237,0.8295459208157461,0.9480440882615508,83% - 94.8%,1
Budi,0.8182007479006227,0.05102523234601014,406,Leafy greens,0.10000945539817988,0.7181912925024428,0.9182102032988025,71.8% - 91.8%,2
Budi,0.7765982946886336,0.030268194127744823,419,Spices/condiments,0.05932566049037985,0.7172726341982538,0.8359239551790134,71.7% - 83.6%,3
Budi,0.3982432954208054,0.06549328150035197,417,Oil and fats,0.12836683174068986,0.26987646368011553,0.5266101271614952,27% - 52.7%,4
Budi,0.2417883733138429,0.05193114209715095,407,Other vegetables,0.10178503851041586,0.14000333480342703,0.34357341182425877,14% - 34.4%,5
