Disaggregate,Disaggregate type,fies,fies_se,lower,upper
County,Akobo,7.679874315594193,0.0941388854776275,7.495362100058044,7.864386531130343
County,Baliet,7.623310845767749,0.1351403796365185,7.358435701680173,7.888185989855326
County,Budi,7.0699509318279725,0.253475783071633,6.573138397007572,7.566763466648373
County,Duk,7.739126898795908,0.06886586878411431,7.604149795979044,7.874104001612771
County,Jur River,7.2203062267945715,0.0954551297315844,7.033214172520666,7.407398281068477
County,Kapoeta North,7.837407507071184,0.046227666124866236,7.746801281466446,7.928013732675922
County,Leer,7.878303447258113,0.0329075798174372,7.813804590815936,7.94280230370029
County,Mayendit,7.68096256312508,0.07439232391261383,7.535153608256357,7.826771517993803
County,Paynijar,7.5841587859761,0.14479753051556898,7.300355626165585,7.867961945786615
County,Pibor,7.873552046589248,0.046068413711059596,7.783257955715571,7.963846137462925
County,Ulang,7.820443340029,0.07639475339700356,7.670709623370873,7.970177056687127
County,Uror,7.797371919953319,0.0652508781191398,7.669480198839805,7.925263641066833
County,Wau,6.413840259478621,0.2532630639912225,5.917444654055825,6.910235864901417
