trad_sats,conf_impact,conf_impact_low,conf_impact_upp,trad_res,trad_res_low,trad_res_upp,trad_sats_low,trad_sats_upp,conflict
0.3790659003104249,0.6365266160685006,0.5585033751615377,0.7145498569754635,0.643707393239039,0.5731532779081342,0.7142615085699439,0.28591556987441,0.4722162307464398,land
0.3461937346967755,0.5704298138631212,0.5096751362426786,0.6311844914835638,0.48985295052776395,0.42104047737633377,0.5586654236791941,0.2642149107173113,0.4281725586762397,water
0.3184420539248169,0.6085426026417261,0.5411097414005337,0.6759754638829185,0.6310975957070416,0.5775806298331375,0.6846145615809457,0.24134419935528914,0.3955399084943446,pasture
0.3346200079877161,0.5633173674420645,0.48597813093003006,0.640656603954099,0.7702701578625684,0.7216310083066465,0.8189093074184902,0.2481211158944302,0.42111890008100195,forest
0.3419721157398449,0.6305834298937302,0.5719322969560537,0.6892345628314066,0.5572264648380273,0.5049129147397493,0.6095400149363053,0.2645010835414782,0.4194431479382115,cattle
0.3290529018383578,0.6070249246278105,0.5429922485394956,0.6710576007161255,0.6282872510926041,0.5752978737243856,0.6812766284608226,0.2447946209168676,0.41331118275984796,goat
0.3140040469819646,0.598673483028939,0.5268499318860906,0.6704970341717873,0.6796903420982937,0.6217600389577074,0.73762064523888,0.2287790528274768,0.3992290411364524,migration
0.3297187474756575,0.5872681608650734,0.513746840999265,0.6607894807308817,0.6986964015139348,0.6380361493705116,0.7593566536573579,0.2451250700712379,0.4143124248800771,boundary
0.33533301177998276,0.6344698672242951,0.5747231981064547,0.6942165363421355,0.583703765823606,0.5262516600886443,0.6411558715585676,0.25980806369320353,0.410857959866762,revenge
0.33188833083992525,0.5632565920741558,0.4943807609288825,0.6321324232194291,0.6500237723201501,0.5952824009115297,0.7047651437287704,0.2511220639139058,0.4126545977659447,dowry
0.31914590786883107,0.5647651422837193,0.4972483673489585,0.6322819172184801,0.6290406825349906,0.5706713724799429,0.6874099925900382,0.23942081002606963,0.3988710057115925,elope
0.3534878182632667,0.6399074906479871,0.5787940322630593,0.701020949032915,0.5600711459817413,0.504058647722752,0.6160836442407307,0.2759462616768361,0.4310293748496973,cattleraid
0.3828991186535868,0.6046681640931285,0.5287095382511796,0.6806267899350774,0.6760246794164864,0.6132148428990012,0.7388345159339715,0.2793676174099042,0.4864306198972694,fishing
0.32060674528255995,0.5662462299468922,0.5057243599071477,0.6267680999866367,0.5603152790513076,0.48615143423750057,0.6344791238651147,0.24133112652730795,0.39988236403781197,gbv
0.340220183493651,0.5826604493754988,0.5168583695959974,0.6484625291550001,0.6399486884740886,0.5841743970887,0.6957229798594772,0.25375758127248826,0.4266827857148138,livelihood
0.3295438387635475,0.5677374080197973,0.49376028821586554,0.6417145278237291,0.6817768814569497,0.6289894860887629,0.7345642768251365,0.24183482344314838,0.4172528540839466,agriculture
