county,hh_size,min,max
Akobo,5.307073954983923,1,15
Baliet,5.516908212560386,1,20
Budi,5.195161290322581,1,13
Duk,5.541747572815534,1,17
Jur River,6.5499181669394435,1,17
Kapoeta North,3.3976510067114094,1,9
Leer,7.224193548387097,1,23
Mayendit,5.250825082508251,1,16
Paynijar,5.46677471636953,1,11
Pibor,1.0089126559714796,1,2
Ulang,7.1900958466453675,2,25
Uror,5.253682487725041,1,16
Wau,5.9708265802269045,1,21
