variable,value,se,lower,upper,measure
cohesion_latent,38.98959001062276,1.4321008622933113,36.18267232052787,41.796507700717655,Cohesion
bonding_fac,43.29474919476341,1.477691447171272,40.39847395830772,46.191024431219105,Bonding capital
bridging_fac,34.64162496224265,1.5092211432194271,31.683551521532575,37.599698402952725,Bridging capital
