region,county,asp,asp_se,lower,upper
Bahr-El-Ghazel,Jur River,3.2359221171761887,0.07549684379053179,3.0879483033467463,3.383895931005631
Bahr-El-Ghazel,Wau,3.2574409551434123,0.1236750659544523,3.0150378258726858,3.4998440844141387
Equatoria,Budi,4.56233074512864,0.1162351249196558,4.334509900286115,4.790151589971165
Equatoria,Kapoeta North,3.4163985079683674,0.08958068558763439,3.240820364216604,3.591976651720131
Great Upper Nile,Akobo,4.040347477748594,0.10351323767494565,3.8374615319057006,4.243233423591487
Great Upper Nile,Baliet,3.4510131681613334,0.15502587031328663,3.147162462347292,3.754863873975375
Great Upper Nile,Duk,3.9880908067381724,0.06718793739465741,3.856402449444644,4.1197791640317005
Great Upper Nile,Leer,4.412371573119521,0.05571206338880859,4.303175928877456,4.521567217361586
Great Upper Nile,Mayendit,4.252255373580103,0.08642902336617514,4.0828544877824,4.421656259377806
Great Upper Nile,Paynijar,4.202974765308488,0.1401281521835752,3.9283235870286806,4.477625943588295
Great Upper Nile,Pibor,3.544624747478686,0.07262339904535284,3.4022828853497944,3.6869666096075773
Great Upper Nile,Ulang,3.752097044836089,0.1325800834754052,3.492240081224295,4.0119540084478835
Great Upper Nile,Uror,3.868758593130034,0.13589396374057316,3.6024064241985108,4.135110762061558
