county,exposure,exposure_se,lower,upper
Akobo,34.74080946016309,2.4746147175647915,29.8905646137361,39.59105430659008
Budi,26.11773599611081,3.1135909111543167,20.01509781024835,32.22037418197327
Duk,75.00359146628291,6.019218609023719,63.20592299259643,86.8012599399694
Leer,43.01372735045781,1.285722542584718,40.493711166991766,45.53374353392386
Mayendit,47.844148863506966,2.09908073525088,43.729950622415245,51.95834710459869
Paynijar,42.995076827767846,2.9585935758289015,37.1962334191432,48.793920236392495
Pibor,59.92327736329535,1.833382191018257,56.32984826889957,63.51670645769113
Uror,61.20462203465648,3.489977080927944,54.36426695603771,68.04497711327525
Wau,16.62000695311418,2.391099328887613,11.93345226849446,21.306561637733903
