item,description,ML1
grp_fac_cattle,Cattle/herding,0.6729232263508965
grp_fac_women,Women/Mothers,0.6828919059084874
grp_fac_finance,Savings/Credit,0.5522486499117414
grp_fac_sports,Sports/Youth,0.5713827149250207
grp_fac_nature,Natural resource management,0.6889856418715053
