var_name,shock_lab,mn,se,lower,upper
food_price_inc_severity,Increase in food prices,5.6903895100825554,0.08987831227301693,5.514228018027442,5.866551002137669
flood_severity,Floods,5.272204601806284,0.11678107992861111,5.043313685146207,5.501095518466362
livestock_disease_severity,Livestock disease,3.560047284896101,0.12379374104548997,3.3174115524469405,3.8026830173452613
erosion_severity,Erosion,3.531785474356024,0.14144932419756528,3.254544798928796,3.809026149783252
little_rain_severity,Drought,3.19700926900201,0.14105276456249344,2.920545850459523,3.473472687544497
loss_land_severity,Loss of land,3.1787230099406956,0.13914121772177487,2.906006223206017,3.4514397966753743
livestock_input_severity,No livestock inputs,3.132572848097563,0.11669918527368267,2.903842444961145,3.361303251233981
no_sell_crop_severity,Unable to sell,3.094055325992051,0.1255641533473471,2.847949585431251,3.3401610665528514
theft_severity,Theft,3.0709498243225233,0.11972310903473639,2.8362925306144398,3.305607118030607
livestock_theft_severity,Livestock theft,2.870587879837103,0.12998656603603087,2.6158142104064828,3.1253615492677236
illness_severity,Illness in household,2.5085109112311548,0.1156969398376435,2.2817449091493733,2.735276913312936
crop_disease_severity,Crop disease,2.504720002541301,0.1044860122202202,2.299927418589669,2.7095125864929326
ag_input_severity,No crop inputs,2.500038055575392,0.10276776894708775,2.2986132284390997,2.701462882711684
pest_severity,Crop pests,2.374322234971467,0.10349912969249349,2.1714639407741796,2.5771805291687544
death_severity,Death in household,1.5737546059713854,0.10250548688575109,1.3728438516753132,1.7746653602674576
crop_theft_severity,Crop theft,1.4623353645438129,0.08519757363782851,1.295348120213669,1.6293226088739567
